mintime,lat,lon,alt,nic,velocity,heading,vertrate,nac,icao24
2019-09-11 16:57:08.829,34.8530087228549,-117.808513641357,3802.38,9,85.4846753866643,250.837550496197,-5.01388613893377,1,ae0943
2019-09-11 16:58:44.301,34.8447875976562,-117.914970553651,4046.22,9,94.8075624482225,265.08853379794,2.14970874682668,1,ae0943
2019-09-11 16:58:44.438,34.8447689767611,-117.914943695068,4046.22,9,94.8209405646067,265.108983612674,2.15998833141011,1,ae0943
2019-09-11 16:58:44.867,34.8447418212891,-117.915587133291,4046.22,9,94.8628326224813,265.17301989385,2.19217768751442,1,ae0943
2019-09-11 16:58:44.909,34.8447224245233,-117.915573120117,4046.22,9,94.8669339428327,265.179289180119,2.19532909300715,1,ae0943
2019-09-11 16:58:45.407,34.8447224245233,-117.916145324707,4046.22,9,94.9155638841417,265.253625003023,2.23269575813524,1,ae0943
2019-09-11 16:58:45.612,34.8447418212891,-117.916147660236,4046.22,9,94.9355822334758,265.284225090765,2.24807761827833,1,ae0943
2019-09-11 16:58:50.043,34.8443756103516,-117.921024244659,4061.46,9,95.4511549780493,265.62877425245,2.879939097621,1,ae0943
2019-09-11 16:58:50.118,34.8443965588586,-117.921009063721,4061.46,9,95.4495627164307,265.641405116664,2.89327461853979,1,ae0943
2019-09-11 16:59:09.357,34.8437347412109,-117.940922951212,4130.04,9,94.1479487585453,270.420022822489,4.36926753982301,1,ae0943
2019-09-11 16:59:09.455,34.8437448275291,-117.940921783447,4130.04,9,94.1481316021197,270.460751233462,4.3410712920354,1,ae0943
2019-09-11 16:59:13.472,34.8438379320048,-117.945098876953,4145.28,9,93.9596246361419,272.018535243654,3.7465441191067,1,ae0943
2019-09-11 16:59:13.552,34.8438262939453,-117.9451269033,4145.28,9,93.9413946006636,272.056324090159,3.73363612903226,1,ae0943
2019-09-11 16:59:16.422,34.8439775887182,-117.948188781738,4152.9,9,93.7673898369284,273.075318904486,3.83812782036392,1,ae0943
2019-09-11 16:59:16.910,34.8440093994141,-117.948714275749,4160.52,9,93.7791162990248,273.193834616803,3.80741574912892,1,ae0943
2019-09-11 16:59:17.397,34.844024140956,-117.94921875,4160.52,9,93.7908187314858,273.312107469054,3.77676661246612,1,ae0943
2019-09-11 16:59:17.547,34.8440093994141,-117.94921875,4160.52,9,93.7944231768023,273.348536478987,3.76732642663569,1,ae0943
2019-09-11 16:59:17.836,34.8440706931939,-117.949619293213,4160.52,9,93.8013677414455,273.418723038126,3.74913833526907,1,ae0943
2019-09-11 16:59:17.912,34.8440551757812,-117.949611118862,4160.52,9,93.8031939937392,273.437180403159,3.74435530778165,1,ae0943
2019-09-11 16:59:21.432,34.8442569021451,-117.953281402588,4175.76,9,93.9033758328619,274.371345588357,3.57632,1,ae0943
2019-09-11 16:59:21.521,34.84423828125,-117.953254544005,4175.76,9,93.9071476227578,274.401263075353,3.57632,1,ae0943
2019-09-11 16:59:22.333,34.8443298339844,-117.954207439812,4175.76,9,93.9415599080999,274.674218125243,3.57632,1,ae0943
2019-09-11 16:59:24.466,34.8445129394531,-117.956449547592,4183.38,9,93.4534014612542,274.879435983128,3.2512,1,ae0943
2019-09-11 16:59:24.610,34.844536215572,-117.956428527832,4183.38,9,93.4600900371602,274.927321087242,3.2512,1,ae0943
2019-09-11 16:59:24.903,34.8445129394531,-117.956841916454,4183.38,9,93.473699431191,275.024753972698,3.2512,1,ae0943
2019-09-11 16:59:25.073,34.844536215572,-117.956829071045,4183.38,9,93.4774617551381,275.051689343762,3.2512,1,ae0943
2019-09-11 16:59:26.388,34.8446502685547,-117.958299286512,4191,9,93.4774617551381,275.051689343762,3.2512,1,ae0943
2019-09-11 16:59:27.998,34.8447689767611,-117.960033416748,4191,9,94.0363668870781,275.336320097391,3.2512,1,ae0943
2019-09-11 16:59:28.195,34.8447875976562,-117.960036920042,4191,9,94.0363668870781,275.336320097391,3.2512,1,ae0943
2019-09-11 16:59:28.461,34.8447875976562,-117.960541394292,4198.62,9,94.0363668870781,275.336320097391,3.2512,1,ae0943
2019-09-11 16:59:28.645,34.8447689767611,-117.960548400879,4198.62,9,94.0363668870781,275.336320097391,3.2512,1,ae0943
2019-09-11 16:59:29.034,34.8448620812368,-117.96106338501,4198.62,9,94.0363668870781,275.336320097391,3.2512,1,ae0943
2019-09-11 16:59:29.078,34.8448791503906,-117.961045868543,4198.62,9,94.0363668870781,275.336320097391,3.2512,1,ae0943
2019-09-11 16:59:30.074,34.8449086334746,-117.962093353271,4198.62,9,94.0031727785185,275.653239444245,3.2512,1,ae0943
2019-09-11 16:59:30.944,34.8450164794922,-117.963007712851,4206.24,9,93.7185840422834,275.670473973386,3.2512,1,ae0943
2019-09-11 16:59:30.966,34.8450017379502,-117.963008880615,4206.24,9,93.711387545505,275.670909789065,3.2512,1,ae0943
2019-09-11 16:59:31.304,34.8450164794922,-117.963400081712,4206.24,9,93.6008231859102,275.677605502685,3.2512,1,ae0943
2019-09-11 16:59:31.443,34.8450017379502,-117.963409423828,4206.24,9,93.5736727662464,275.679249716385,3.2512,1,ae0943
2019-09-11 16:59:32.215,34.8450948424258,-117.964324951172,4206.24,9,93.5736727662464,275.679249716385,3.2512,1,ae0943
2019-09-11 16:59:32.370,34.8451080322266,-117.964352977519,4206.24,9,93.5736727662464,275.679249716385,3.27145267064281,1,ae0943
2019-09-11 16:59:34.676,34.8453369140625,-117.966875348772,4213.86,9,93.5944620719735,275.803757532748,3.57632,1,ae0943
