mintime,lat,lon,alt,nic,velocity,heading,vertrate,nac,icao24
2019-09-11 16:46:54.093,34.8341468116764,-117.625055091384,3547.23314768772,9,111.353064530258,86.2915718428695,2.12400646547314,0,ae0943
2019-09-11 16:46:57.077,34.8343505859375,-117.621478645169,3558.54,9,111.353064530258,86.2915718428695,4.00128,0,ae0943
2019-09-11 16:46:59.088,34.8344879150391,-117.619068379305,3566.16,9,110.839702711268,86.274371806651,4.5124294017094,0,ae0943
2019-09-11 16:47:01.016,34.8346205889168,-117.616767883301,3573.78,9,110.761235224243,86.2717182583996,4.50198434782609,0,ae0943
2019-09-11 16:47:01.480,34.8346252441406,-117.616321797274,3581.4,9,110.599417828778,86.2662460522278,4.39950086956522,0,ae0943
2019-09-11 16:47:03.295,34.8347602456303,-117.61402130127,3589.02,9,110.236361430402,86.2539399993371,4.11257194496348,0,ae0943
2019-09-11 16:47:03.771,34.8347602456303,-117.613506317139,3589.02,9,110.194854625441,86.2525232051817,4.0599960591133,0,ae0943
2019-09-11 16:47:04.884,34.8348541259766,-117.611949687101,3589.02,9,110.097801949135,86.2492104070829,3.93706126719891,0,ae0943
2019-09-11 16:47:08.038,34.8350372314453,-117.608138103874,3604.26,9,109.822775766684,86.2398226575738,3.58869079667063,0,ae0943
2019-09-11 16:47:09.104,34.8351287841797,-117.606904944595,3604.26,9,109.813009459635,86.2394892942431,3.57632,0,ae0943
2019-09-11 16:47:11.214,34.8352203369141,-117.604550731425,3611.88,9,109.813009459635,86.2394892942431,3.57632,0,ae0943
2019-09-11 16:47:11.689,34.8352723202463,-117.60383605957,3619.5,9,109.787586108612,86.2511986076337,3.56118213756614,0,ae0943
2019-09-11 16:47:12.761,34.8353654247219,-117.602634429932,3619.5,9,109.581117682128,86.3462924254731,3.43824434567901,0,ae0943
2019-09-11 16:47:14.024,34.8354119769597,-117.601203918457,3619.5,9,109.337862437118,86.458329264961,3.29340252557319,0,ae0943
2019-09-11 16:47:15.408,34.8354949951172,-117.59939388353,3627.12,9,109.276497296807,86.412657874029,3.2512,0,ae0943
2019-09-11 16:47:19.464,34.8357696533203,-117.594517299107,3642.36,9,109.299678312423,86.2218022928384,3.2512,0,ae0943
2019-09-11 16:47:38.167,34.8374633789062,-117.572488590163,3695.7,9,106.874061241014,69.821347607958,3.00652522153312,0,ae0943
2019-09-11 16:48:47.456,34.8731689453125,-117.58263412787,3779.52,9,90.2319691826618,265.304270443501,-0.182749541731238,0,ae0943
2019-09-11 16:48:51.351,34.8725280761719,-117.586501763792,3771.9,9,91.1345796801759,254.270213211362,0.310986580329293,0,ae0943
2019-09-11 16:49:18.461,34.8541259765625,-117.601718902588,3779.52,9,103.910614380209,181.93314918178,-0.421432144026187,0,ae0943
2019-09-11 16:49:30.627,34.8429534394862,-117.597885131836,3779.52,9,108.922966636806,151.396750618255,0,0,ae0943
2019-09-11 16:50:01.956,34.8313751220703,-117.564921476403,3779.52,9,111.216979470671,77.7976094194793,-0.322781339264588,0,ae0943
2019-09-11 16:51:20.094,34.8621368408203,-117.578934650032,3779.52,9,94.191158284703,223.203841885096,0.32512,0,ae0943
2019-09-11 16:57:08.829,34.8530087228549,-117.808513641357,3802.38,9,93.8410727267492,266.736716436623,1.24193650982541,0.636655445079464,ae0943
2019-09-11 16:58:44.301,34.8447875976562,-117.914970553651,4046.22,9,94.8075624482225,265.088533797939,2.14970874682668,1,ae0943
2019-09-11 16:58:44.438,34.8447689767611,-117.914943695068,4046.22,9,94.8209405646067,265.108983612674,2.15998833141011,1,ae0943
2019-09-11 16:58:44.867,34.8447418212891,-117.915587133291,4046.22,9,94.8628326224814,265.17301989385,2.19217768751442,1,ae0943
2019-09-11 16:58:44.909,34.8447224245233,-117.915573120117,4046.22,9,94.8669339428327,265.179289180119,2.19532909300715,1,ae0943
2019-09-11 16:58:45.407,34.8447224245233,-117.916145324707,4046.22,9,94.9155638841418,265.253625003023,2.23269575813524,1,ae0943
2019-09-11 16:58:45.612,34.8447418212891,-117.916147660236,4046.22,9,94.9355822334758,265.284225090764,2.24807761827833,1,ae0943
2019-09-11 16:58:50.043,34.8443756103516,-117.921024244659,4061.46,9,95.1511222232535,265.603741257442,2.86907190543203,0.412327610470025,ae0943
2019-09-11 16:58:50.118,34.8443965588586,-117.921009063721,4061.46,9,95.1603070002411,265.617271295327,2.88279777089783,0.43343653250774,ae0943
2019-09-11 16:59:09.357,34.8437347412109,-117.940922951212,4130.04,9,94.1479014118656,270.409476348343,4.37656885581395,0.769302325581395,ae0943
2019-09-11 16:59:09.455,34.8437448275291,-117.940921783447,4130.04,9,94.1480936102275,270.452288538482,4.34693000930233,0.814883720930233,ae0943
2019-09-11 16:59:13.472,34.8438379320048,-117.945098876953,4145.28,9,93.9729736727286,271.990864167798,3.7559960607648,0.447354635935045,ae0943
2019-09-11 16:59:13.552,34.8438262939453,-117.9451269033,4145.28,9,93.9537313880305,272.030751294937,3.74237133577789,0.489261393399686,ae0943
2019-09-11 16:59:16.422,34.8439775887182,-117.948188781738,4152.9,9,93.7654769471091,273.055985920875,3.84313775498126,0.179325310712172,ae0943
2019-09-11 16:59:16.496,34.8439636230469,-117.948209801499,4152.9,9,93.7672891674988,273.074301469811,3.838391477609,0.193923850858157,ae0943
2019-09-11 16:59:16.910,34.8440093994141,-117.948714275749,4160.52,9,93.7774278058958,273.176769540885,3.81183797987769,0.27559676464786,ae0943
2019-09-11 16:59:17.064,34.844024140956,-117.948703765869,4160.52,9,93.7811991834638,273.214885683265,3.80196059183271,0.305977510357072,ae0943
