mintime,lat,lon,alt,velocity,heading,vertrate,nic,nac,icao24
2019-09-11 17:00:04.439,34.8483534990731,-117.997226715088,4297.68,94.9494171204744,277.471559176592,2.92608,9,1,ae0943
2019-09-11 17:00:04.847,34.8484000513109,-117.997627258301,4297.68,94.9494171204744,277.471559176592,2.92608,9,1,ae0943
2019-09-11 17:00:07.481,34.8487243652344,-118.000394860092,4305.3,94.9494171204744,277.471559176592,2.92608,9,1,ae0943
2019-09-11 17:00:09.357,34.8489074707031,-118.002244599012,4312.92,94.9494171204744,277.471559176592,2.92608,9,1,ae0943
2019-09-11 17:00:11.480,34.849144887116,-118.00443649292,4312.92,94.8838929320907,277.163547465832,2.92608,9,1,ae0943
2019-09-11 17:00:12.439,34.8492379915916,-118.005466461182,4320.54,94.8767735435348,277.128570088186,2.9629502812687,9,1,ae0943
2019-09-11 17:00:14.188,34.8494242005429,-118.007125854492,4320.54,94.8439191620459,276.967157334882,3.13309836026332,9,1,ae0943
2019-09-11 17:00:16.702,34.849656961732,-118.009757995605,4328.16,94.8211145770673,276.855118980101,3.32058005359318,9,1,ae0943
2019-09-11 17:00:18.723,34.8499145507812,-118.011941715163,4335.78,94.8211145770673,276.855118980101,3.4806452228989,9,1,ae0943
2019-09-11 17:00:19.747,34.8500061035156,-118.012950663664,4343.4,94.8211145770673,276.855118980101,3.56174702070646,9,1,ae0943
2019-09-11 17:00:20.666,34.8500759318723,-118.013877868652,4343.4,94.8512137883799,277.002995651342,3.57632,9,1,ae0943
2019-09-11 17:00:21.659,34.8502155885858,-118.014907836914,4351.02,94.8240076848187,277.168117167126,3.61446584837545,9,1,ae0943
2019-09-11 17:00:22.120,34.8502349853516,-118.015416982223,4351.02,94.6824328181911,277.178920409673,3.70464654632972,9,1,ae0943
2019-09-11 17:00:22.302,34.8502155885858,-118.015422821045,4351.02,94.6265399207373,277.183185464214,3.74024933814681,9,1,ae0943
2019-09-11 17:00:24.440,34.8504949020127,-118.017768859863,4358.64,77.7102924110715,278.754374345897,3.90144,9,1,ae0943
2019-09-11 17:00:24.440,34.8504949020127,-118.017768859863,4358.64,94.3734863630342,277.202495381477,3.90144,9,1,ae0943
2019-09-11 17:00:24.690,34.8505217057994,-118.017986134702,4359.59414415421,82.702103679925,278.349907050449,3.73496072270975,9,1,ae0943
2019-09-11 17:00:24.940,34.8505487735063,-118.01821636067,4360.50910410587,87.1056131263644,277.963279742657,3.58796637955928,9,1,ae0943
2019-09-11 17:00:25.190,34.8505758594708,-118.018457945104,4361.3897510885,90.9222329254402,277.6039518264,3.46045697054859,9,1,ae0943
2019-09-11 17:00:25.440,34.8506027873461,-118.018709287903,4362.24095633565,94.1531649595516,277.280482093506,3.35243249567767,9,1,ae0943
2019-09-11 17:00:25.690,34.8506294475303,-118.018968782815,4363.06759108085,96.7993777561839,277.000385834212,3.26389295494652,9,1,ae0943
2019-09-11 17:00:25.940,34.8506557915651,-118.019234818778,4363.87452655764,98.8616086478583,276.770013393659,3.19483834835516,9,1,ae0943
2019-09-11 17:00:26.190,34.8506818238708,-118.019505781185,4364.66663399954,100.340383452368,276.594450598927,3.14526867590357,9,1,ae0943
2019-09-11 17:00:26.440,34.8507075912513,-118.019780053002,4365.4487846401,101.236045046622,276.477441228925,3.11518393759175,9,1,ae0943
2019-09-11 17:00:26.690,34.8507331706654,-118.020056015718,4366.22584971285,101.548782489323,276.4213315152,3.10458413341971,9,1,ae0943
2019-09-11 17:00:26.940,34.8507586557997,-118.020332050144,4367.00270045132,101.27865370652,276.427036563507,3.11346926338745,9,1,ae0943
2019-09-11 17:00:27.190,34.8507841430081,-118.020606537107,4367.78420808906,100.425596962918,276.494028571186,3.14183932749496,9,1,ae0943
2019-09-11 17:00:27.440,34.8508097171969,-118.020877858123,4368.57524385958,98.9894291041033,276.620346762568,3.18969432574225,9,1,ae0943
