mintime,lat,lon,alt,velocity,heading,vertrate,nic,nac,icao24
2019-09-17 07:00:01.810,35.0726623535156,-117.252315599091,4046.22,74.4956607698521,264.941673177809,-0.27823983882573,9,0.0480644697078716,ae0943
2019-09-17 07:00:01.813,35.0726421808792,-117.252330780029,4046.22,74.4966888425674,264.942573401986,-0.277818759533746,9,0.0484961865016549,ae0943
2019-09-17 07:00:02.720,35.0726165771484,-117.253100336814,4046.22,74.8075094934873,265.21474117828,-0.150512453590445,9,0.179018563822133,ae0943
2019-09-17 07:00:02.899,35.0725956286414,-117.253074645996,4046.22,74.868851165499,265.268454554197,-0.125388055835372,9,0.204777665851202,ae0943
2019-09-17 07:00:03.649,35.0725542807471,-117.253630064454,4046.09339844695,73.4829071564204,265.342945234445,-0.203161113449668,9,0.0327067669172932,ae0943
2019-09-17 07:00:04.649,35.0725050334336,-117.254498722604,4045.87259630112,84.0374696491107,266.640570732895,-0.222345449882368,9,0.0327067669172932,ae0943
2019-09-17 07:00:05.649,35.0724655094214,-117.255448938294,4045.68090300384,88.1804167331916,267.431184230558,-0.144943416349703,9,0.0327067669172932,ae0943
2019-09-17 07:00:06.649,35.0724319028897,-117.256409809089,4045.61490492507,85.9126001336148,267.562869439036,0.029044987148328,9,0.0327067669172932,ae0943
2019-09-17 07:00:07.649,35.0723980287352,-117.257310484208,4045.77118843479,77.2303278420763,267.076621998129,0.299619760611724,9,0.0327067669172932,ae0943
2019-09-17 07:00:08.609,35.0723628674523,-117.258052825928,4046.22,76.7803147976175,266.914883311081,0.65024,9,0.0327067669172932,ae0943
2019-09-17 07:00:08.779,35.0723419189453,-117.258032973932,4046.22,76.8150059171242,266.89185675667,0.65024,9,0.0966165413533835,ae0943
2019-09-17 07:00:09.029,35.0723325240662,-117.258208738464,4046.38464085884,65.4122637112587,266.321605322729,0.666807878707107,9,0,ae0943
2019-09-17 07:00:10.029,35.0722947492522,-117.258975388879,4047.08284667113,74.0860882799524,266.770729084544,0.728339874010833,9,0,ae0943
2019-09-17 07:00:11.029,35.0722579490571,-117.259824841433,4047.83879286311,80.4571049387765,267.148159618435,0.782288638075032,9,0,ae0943
2019-09-17 07:00:12.029,35.07222283927,-117.260731795923,4048.64489620354,84.527113534029,267.411694453274,0.828654170899705,9,0,ae0943
2019-09-17 07:00:13.029,35.0721890812358,-117.261670923088,4049.49357346117,86.296963425086,267.53283749072,0.867436472484852,9,0,ae0943
2019-09-17 07:00:14.029,35.0721556697713,-117.262616881971,4050.37724140476,85.7669131212877,267.498798812257,0.898635542830473,9,0,ae0943
2019-09-17 07:00:15.029,35.0721214487531,-117.263544329725,4051.28831680308,82.9368858118243,267.313362702469,0.922251381936567,9,0,ae0943
2019-09-17 07:00:16.029,35.072085654747,-117.264427929289,4052.21921642489,77.8063897604043,266.996627784905,0.938283989803136,9,0,ae0943
2019-09-17 07:00:17.029,35.0720483859953,-117.265242362177,4053.16235703894,70.374174871031,266.583617951305,0.946733366430178,9,0,ae0943
2019-09-17 07:00:17.744,35.072021484375,-117.265768245775,4053.84,77.7493936484219,266.9337124055,0.948125296855169,9,0,ae0943
2019-09-17 07:00:17.887,35.0720370017876,-117.265777587891,4053.84,77.7591665671834,266.941797678059,0.954681799464109,9,0,ae0943
2019-09-17 07:00:18.292,35.0719904495498,-117.266178131104,4053.84,77.7868451133262,266.964696526916,0.973250915244676,9,0,ae0943
2019-09-17 07:00:18.338,35.0719757080078,-117.266160614637,4053.84,77.7899888494313,266.967297383823,0.97536,9,0,ae0943
2019-09-17 07:00:19.201,35.0719757080078,-117.26694535236,4053.84,78.3037171009324,266.987212495817,0.65024,9,0.618448637316562,ae0943
2019-09-17 07:00:19.343,35.0719904495498,-117.26692199707,4053.84,78.3037171009324,266.987212495817,0.65024,9,0.916142557651992,ae0943
2019-09-17 07:00:20.848,35.0719299316406,-117.268290617028,4053.84,78.3037171009324,266.987212495817,-0.194976656891496,9,0.866568914956012,ae0943
2019-09-17 07:00:20.890,35.071943897312,-117.268295288086,4053.84,78.3037171009324,266.987212495817,-0.225009736070381,9,0.897360703812317,ae0943
2019-09-17 07:00:23.404,35.0718383789062,-117.270532724809,4053.84,78.939159892856,267.011464019923,-0.32512,9,0.236897274633124,ae0943
